1 0 0
1 1024 1
2 0 0
1 1 0
1 2 0
1 300 1
1 500 1
2 1 0
2 2 0
1 1024 1
1 3 0
1 4 0
2 3 1
2 4 0
2 5 0
2 6 0
1 5 0
3 0 0
3 1 0
3 2000 0
3 2001 1
1 1025 1
1 6 0
1 1 0
1 2 0
1 300 1
1 500 1
2 1 0
2 2 0
2 31 0
1 7 0
3 2002 0
1 1024 1
1 -1 0
3 2 0
2 32 0
2 33 0
2 0 0
3 3 0
2 1 0
2 2 0
2 3 1
3 3000 0
3 3001 1
3 2000 0
2 4 0
2 5 0
2 6 0
3 2001 1
2 31 0
2 32 0
3 2002 0
2 33 0
2 0 0
2 1 0
1 0 0
1 1 0
1 2 0
2 2 0
2 3 1
3 3002 0
2 0 0
2 1 0
1 0 0
1 1 0
1 2 0
1 300 1
1 500 1
2 2 0
2 3 1
2 4 0
1 3 0
1 4 0
2 5 0
3 3003 0
2 6 0
1 5 0
3 3000 0
3 3001 1
3 2000 0
1 6 0
2 31 0
2 32 0
2 33 0
2 81 1
2 0 0
2 81 1
1 7 0
1 8 0
1 9 0
3 3004 0
2 1 0
2 81 1
1 10 0
1 11 0
1 0 0
1 1 0
2 2 0
3 3004 0
2 3 1
2 81 1
1 2 0
1 3 0
1 4 0
2 4 0
2 81 1
3 4000 1
2 0 0
2 1 0
1 0 0
1 1 0
1 2 0
3 4000 1
2 2 0
2 81 1
2 3 1
2 5 0
2 6 0
2 31 0
2 32 0
2 33 0
3 4001 1
1 5 0
1 6 0
1 7 0
2 0 0
2 1 0
2 81 1
3 2000 0
1 0 0
1 1 0
1 2 0
2 2 0
2 3 1
3 3002 0
2 0 0
2 1 0
2 81 1
1 0 0
1 1 0
1 2 0
1 300 1
1 500 1
2 2 0
2 3 1
2 4 0
2 81 1
1 3 0
1 4 0
3 3002 0
3 -1 0
1 5 0
